BinCenter (ps),Histo01,Histo02,Histo03,Histo04
28950,14,8,0,0
29050,8,5,0,0
29150,2,4,0,0
29250,5,3,0,0
29350,8,8,0,0
29450,5,7,0,0
29550,5,10,0,0
29650,14,10,0,0
29750,4,6,0,0
29850,7,6,0,0
29950,3,9,0,0
30050,6,2,0,0
30150,4,12,0,0
30250,6,3,0,0
30350,6,9,0,0
30450,9,8,0,0
30550,7,8,0,0
30650,10,13,0,0
30750,6,5,0,0
30850,6,6,0,0
30950,8,9,0,0
31050,8,7,0,0
31150,5,4,0,0
31250,7,10,0,0
31350,4,7,0,0
31450,11,8,0,0
31550,8,5,0,0
31650,9,6,0,0
31750,21,6,0,0
31850,9,6,0,0
31950,6,4,0,0
32050,10,3,0,0
32150,41,4,0,0
32250,13,6,0,0
32350,7,7,0,0
32450,7,5,0,0
32550,53,9,0,0
32650,11,5,0,0
32750,10,10,0,0
32850,8,3,0,0
32950,23,6,0,0
33050,15,4,0,0
33150,9,9,0,0
33250,10,2,0,0
33350,6,9,0,0
33450,6,6,0,0
33550,7,3,0,0
33650,4,4,0,0
33750,8,8,0,0
33850,5,11,0,0
33950,13,12,0,0
34050,12,13,0,0
34150,5,11,0,0
34250,4,11,0,0
34350,6,19,0,0
34450,6,19,0,0
34550,2,23,0,0
34650,10,20,0,0
34750,3,20,0,0
34850,9,14,0,0
34950,5,22,0,0
35050,6,21,0,0
35150,5,23,0,0
35250,6,21,0,0
35350,7,14,0,0
35450,9,13,0,0
35550,8,17,0,0
35650,9,11,0,0
35750,7,13,0,0
35850,11,9,0,0
35950,5,9,0,0
36050,4,9,0,0
36150,7,3,0,0
36250,10,6,0,0
36350,6,6,0,0
36450,10,3,0,0
36550,8,5,0,0
36650,11,2,0,0
36750,6,6,0,0
36850,6,10,0,0
36950,11,7,0,0
37050,12,6,0,0
37150,7,7,0,0
37250,5,5,0,0
37350,14,6,0,0
37450,5,5,0,0
37550,5,3,0,0
37650,5,7,0,0
37750,6,4,0,0
37850,8,6,0,0
37950,4,7,0,0
38050,8,7,0,0
38150,8,7,0,0
38250,5,10,0,0
38350,9,10,0,0
38450,11,8,0,0
38550,5,5,0,0
38650,5,13,0,0
38750,6,9,0,0
38850,7,10,0,0
38950,4,2,0,0
39050,6,18,0,0
39150,6,10,0,0
39250,6,10,0,0
39350,4,8,0,0
39450,4,22,0,0
39550,8,7,0,0
39650,4,3,0,0
39750,8,11,0,0
39850,7,13,0,0
39950,6,3,0,0
40050,8,7,0,0
40150,9,8,0,0
40250,4,26,0,0
40350,6,3,0,0
40450,10,11,0,0
40550,8,10,0,0
40650,6,6,0,0
40750,13,6,0,0
40850,3,11,0,0
40950,6,9,0,0
41050,5,9,0,0
41150,5,4,0,0
41250,6,7,0,0
41350,8,4,0,0
41450,4,7,0,0
41550,7,6,0,0
41650,3,2,0,0
41750,4,7,0,0
41850,2,14,0,0
41950,6,13,0,0
42050,6,14,0,0
42150,4,35,0,0
42250,7,25,0,0
42350,12,21,0,0
42450,4,26,0,0
42550,9,43,0,0
42650,7,38,0,0
42750,5,27,0,0
42850,3,21,0,0
42950,6,41,0,0
43050,9,39,0,0
43150,6,30,0,0
43250,5,15,0,0
43350,6,43,0,0
43450,7,45,0,0
43550,168,22,0,0
43650,142,10,0,0
43750,7,9,0,0
43850,13,43,0,0
43950,849,17,0,0
44050,642,9,0,0
44150,8,8,0,0
44250,17,28,0,0
44350,761,12,0,0
44450,597,6,0,0
44550,5,7,0,0
44650,16,6,0,0
44750,777,15,0,0
44850,604,7,0,0
44950,12,10,0,0
45050,13,7,0,0
45150,247,8,0,0
45250,165,18,0,0
45350,5,7,0,0
45450,2,3,0,0
45550,5,8,0,0
45650,9,17,0,0
45750,5,5,0,0
45850,9,5,0,0
45950,5,10,0,0
46050,4,9,0,0
46150,4,11,0,0
46250,2,8,0,0
46350,15,7,0,0
46450,6,10,0,0
46550,4,4,0,0
46650,6,8,0,0
46750,8,10,0,0
46850,5,6,0,0
46950,14,3,0,0
47050,12,5,0,0
47150,4,6,0,0
47250,5,13,0,0
47350,10,6,0,0
47450,7,4,0,0
47550,5,10,0,0
47650,5,3,0,0
47750,11,6,0,0
47850,11,4,0,0
47950,3,4,0,0
48050,4,8,0,0
48150,7,6,0,0
48250,7,5,0,0
48350,7,10,0,0
48450,10,8,0,0
48550,3,3,0,0
48650,8,3,0,0
48750,8,7,0,0
48850,2,5,0,0
48950,2,11,0,0
49050,4,8,0,0
49150,4,4,0,0
49250,6,7,0,0
49350,6,11,0,0
49450,9,8,0,0
49550,5,5,0,0
49650,9,5,0,0
49750,7,6,0,0
49850,6,9,0,0
49950,3,7,0,0
50050,7,5,0,0
50150,6,9,0,0
50250,3,5,0,0
50350,5,7,0,0
50450,7,4,0,0
50550,6,7,0,0
50650,3,5,0,0
50750,8,5,0,0
50850,8,6,0,0
50950,3,6,0,0
51050,6,9,0,0
51150,4,3,0,0
51250,4,7,0,0
51350,6,9,0,0
51450,9,4,0,0
51550,3,8,0,0
51650,6,7,0,0
51750,3,5,0,0
51850,4,5,0,0
51950,5,7,0,0
52050,9,6,0,0
52150,8,6,0,0
52250,9,2,0,0
52350,2,8,0,0
52450,7,10,0,0
52550,7,5,0,0
52650,7,6,0,0
52750,5,7,0,0
52850,5,10,0,0
52950,8,3,0,0
53050,4,10,0,0
53150,8,9,0,0
53250,8,6,0,0
53350,7,10,0,0
53450,10,1,0,0
53550,5,6,0,0
53650,10,8,0,0
53750,4,11,0,0
53850,5,8,0,0
53950,10,8,0,0
54050,8,5,0,0
54150,6,6,0,0
54250,6,8,0,0
54350,5,4,0,0
54450,14,7,0,0
54550,3,5,0,0
54650,7,9,0,0
54750,3,5,0,0
54850,12,179,0,0
54950,7,233,0,0
55050,8,14,0,0
55150,10,9,0,0
55250,12,617,0,0
55350,5,801,0,0
55450,9,14,0,0
55550,5,8,0,0
55650,8,604,0,0
55750,5,769,0,0
55850,23,16,0,0
55950,5,8,0,0
56050,11,656,0,0
56150,23,884,0,0
56250,42,14,0,0
56350,8,4,0,0
56450,9,137,0,0
56550,16,192,0,0
56650,37,8,0,0
56750,32,6,0,0
56850,22,11,0,0
56950,26,4,0,0
57050,44,4,0,0
57150,45,6,0,0
57250,38,7,0,0
57350,24,7,0,0
57450,25,6,0,0
57550,48,10,0,0
57650,32,7,0,0
57750,33,4,0,0
57850,24,6,0,0
57950,28,4,0,0
58050,17,9,0,0
58150,17,7,0,0
58250,12,7,0,0
58350,3,9,0,0
58450,8,8,0,0
58550,12,10,0,0
58650,6,10,0,0
58750,13,6,0,0
58850,7,11,0,0
58950,5,10,0,0
59050,3,3,0,0
59150,6,4,0,0
59250,9,12,0,0
59350,7,10,0,0
59450,6,7,0,0
59550,3,8,0,0
59650,10,6,0,0
59750,7,4,0,0
59850,17,13,0,0
59950,6,6,0,0
60050,6,6,0,0
60150,6,5,0,0
60250,14,6,0,0
60350,5,8,0,0
60450,9,1,0,0
60550,2,4,0,0
60650,20,5,0,0
60750,7,7,0,0
60850,13,9,0,0
60950,9,8,0,0
61050,18,6,0,0
61150,6,2,0,0
61250,6,8,0,0
