BinCenter (ps),Histo01,Histo02,Histo03,Histo04
50,7,7,0,0
150,8,9,0,0
250,6,6,0,0
350,8,8,0,0
450,4,3,0,0
550,8,14,0,0
650,6,8,0,0
750,12,7,0,0
850,9,11,0,0
950,7,6,0,0
1050,5,6,0,0
1150,5,7,0,0
1250,8,5,0,0
1350,3,6,0,0
1450,9,12,0,0
1550,7,6,0,0
1650,5,7,0,0
1750,8,4,0,0
1850,8,10,0,0
1950,8,7,0,0
2050,10,8,0,0
2150,8,2,0,0
2250,8,7,0,0
2350,10,6,0,0
2450,5,6,0,0
2550,11,3,0,0
2650,6,6,0,0
2750,5,4,0,0
2850,9,10,0,0
2950,14,6,0,0
3050,8,6,0,0
3150,12,11,0,0
3250,9,8,0,0
3350,8,4,0,0
3450,9,13,0,0
3550,3,8,0,0
3650,6,12,0,0
3750,9,5,0,0
3850,7,8,0,0
3950,11,4,0,0
4050,11,6,0,0
4150,8,4,0,0
4250,8,6,0,0
4350,8,9,0,0
4450,15,6,0,0
4550,5,8,0,0
4650,5,11,0,0
4750,9,14,0,0
4850,18,206,0,0
4950,11,224,0,0
5050,7,10,0,0
5150,10,13,0,0
5250,12,789,0,0
5350,5,1029,0,0
5450,7,19,0,0
5550,7,13,0,0
5650,11,849,0,0
5750,14,1278,0,0
5850,20,30,0,0
5950,10,14,0,0
6050,7,654,0,0
6150,16,1042,0,0
6250,52,20,0,0
6350,9,8,0,0
6450,14,177,0,0
6550,23,243,0,0
6650,58,11,0,0
6750,27,4,0,0
6850,30,9,0,0
6950,34,12,0,0
7050,58,9,0,0
7150,48,4,0,0
7250,36,9,0,0
7350,34,10,0,0
7450,40,7,0,0
7550,54,8,0,0
7650,37,5,0,0
7750,17,11,0,0
7850,25,5,0,0
7950,37,13,0,0
8050,25,5,0,0
8150,12,7,0,0
8250,11,6,0,0
8350,15,3,0,0
8450,8,8,0,0
8550,8,7,0,0
8650,10,8,0,0
8750,6,5,0,0
8850,6,7,0,0
8950,5,11,0,0
9050,6,9,0,0
9150,8,10,0,0
9250,2,8,0,0
9350,11,9,0,0
9450,12,6,0,0
9550,16,8,0,0
9650,11,3,0,0
9750,10,6,0,0
9850,13,8,0,0
9950,16,7,0,0
10050,9,4,0,0
10150,9,6,0,0
10250,19,5,0,0
10350,10,7,0,0
10450,6,5,0,0
10550,5,13,0,0
10650,12,8,0,0
10750,12,5,0,0
10850,7,8,0,0
10950,7,9,0,0
11050,10,5,0,0
11150,8,7,0,0
11250,6,0,0,0
11350,6,3,0,0
11450,5,6,0,0
11550,8,5,0,0
11650,10,5,0,0
11750,6,7,0,0
11850,11,9,0,0
11950,5,8,0,0
12050,4,7,0,0
12150,9,12,0,0
12250,8,6,0,0
12350,13,11,0,0
12450,7,5,0,0
12550,11,6,0,0
12650,12,4,0,0
12750,7,11,0,0
12850,5,8,0,0
12950,9,11,0,0
13050,5,13,0,0
13150,10,5,0,0
13250,8,7,0,0
13350,8,5,0,0
13450,9,12,0,0
13550,5,9,0,0
13650,9,5,0,0
13750,1,4,0,0
13850,9,7,0,0
13950,7,10,0,0
14050,8,5,0,0
14150,7,5,0,0
14250,9,5,0,0
14350,9,5,0,0
14450,10,10,0,0
14550,11,2,0,0
14650,17,7,0,0
14750,23,7,0,0
14850,20,6,0,0
14950,21,7,0,0
15050,23,11,0,0
15150,24,4,0,0
15250,31,11,0,0
15350,25,4,0,0
15450,36,7,0,0
15550,21,5,0,0
15650,21,4,0,0
15750,19,13,0,0
15850,7,9,0,0
15950,12,10,0,0
16050,22,6,0,0
16150,6,16,0,0
16250,8,10,0,0
16350,9,9,0,0
16450,6,5,0,0
16550,8,25,0,0
16650,9,6,0,0
16750,7,16,0,0
16850,7,9,0,0
16950,8,5,0,0
17050,3,6,0,0
17150,6,24,0,0
17250,7,15,0,0
17350,7,9,0,0
17450,9,6,0,0
17550,12,40,0,0
17650,5,7,0,0
17750,6,6,0,0
17850,11,19,0,0
17950,9,41,0,0
18050,5,4,0,0
18150,6,7,0,0
18250,12,11,0,0
18350,5,16,0,0
18450,7,11,0,0
18550,6,7,0,0
18650,7,5,0,0
18750,4,5,0,0
18850,5,7,0,0
18950,7,7,0,0
19050,7,10,0,0
19150,10,7,0,0
19250,4,7,0,0
19350,14,8,0,0
19450,9,3,0,0
19550,11,5,0,0
19650,9,7,0,0
19750,9,4,0,0
19850,4,9,0,0
19950,4,10,0,0
20050,8,8,0,0
20150,6,9,0,0
20250,12,13,0,0
20350,3,3,0,0
20450,7,6,0,0
20550,6,8,0,0
20650,5,3,0,0
20750,6,10,0,0
20850,11,7,0,0
20950,3,7,0,0
21050,6,6,0,0
21150,9,24,0,0
21250,8,12,0,0
21350,8,5,0,0
21450,4,5,0,0
21550,7,28,0,0
21650,6,19,0,0
21750,7,9,0,0
21850,9,13,0,0
21950,8,26,0,0
22050,8,22,0,0
22150,10,14,0,0
22250,6,9,0,0
22350,9,16,0,0
22450,6,13,0,0
22550,13,9,0,0
22650,7,7,0,0
22750,9,5,0,0
22850,8,7,0,0
22950,6,7,0,0
23050,17,5,0,0
23150,7,7,0,0
23250,6,4,0,0
23350,14,3,0,0
23450,8,8,0,0
23550,10,6,0,0
23650,6,5,0,0
23750,6,3,0,0
23850,18,9,0,0
23950,13,9,0,0
24050,11,6,0,0
24150,10,11,0,0
24250,11,6,0,0
24350,9,10,0,0
24450,9,8,0,0
24550,6,7,0,0
24650,4,8,0,0
24750,6,8,0,0
24850,8,6,0,0
24950,5,7,0,0
25050,14,7,0,0
25150,7,9,0,0
25250,9,11,0,0
25350,14,10,0,0
25450,11,6,0,0
25550,16,7,0,0
25650,5,6,0,0
25750,10,9,0,0
25850,7,9,0,0
25950,7,6,0,0
26050,3,14,0,0
26150,8,9,0,0
26250,9,16,0,0
26350,8,6,0,0
26450,5,7,0,0
26550,5,12,0,0
26650,4,14,0,0
26750,6,13,0,0
26850,6,8,0,0
26950,11,3,0,0
27050,12,10,0,0
27150,10,5,0,0
27250,11,4,0,0
27350,11,7,0,0
27450,8,11,0,0
27550,11,11,0,0
27650,21,8,0,0
27750,13,7,0,0
27850,5,7,0,0
27950,4,5,0,0
28050,23,10,0,0
28150,31,9,0,0
28250,7,6,0,0
28350,11,3,0,0
28450,22,3,0,0
28550,31,3,0,0
28650,9,4,0,0
28750,11,9,0,0
28850,12,9,0,0
28950,13,10,0,0
29050,7,9,0,0
29150,4,6,0,0
29250,14,4,0,0
29350,7,5,0,0
29450,7,7,0,0
29550,12,4,0,0
29650,6,7,0,0
29750,6,8,0,0
29850,9,7,0,0
29950,5,6,0,0
30050,7,3,0,0
30150,6,5,0,0
30250,8,11,0,0
30350,8,5,0,0
30450,7,11,0,0
30550,8,5,0,0
30650,7,5,0,0
30750,7,6,0,0
30850,5,4,0,0
30950,4,10,0,0
31050,9,4,0,0
31150,6,6,0,0
31250,7,10,0,0
31350,7,6,0,0
31450,6,3,0,0
31550,5,11,0,0
31650,6,8,0,0
31750,11,5,0,0
31850,9,3,0,0
31950,10,12,0,0
32050,8,7,0,0
32150,34,5,0,0
32250,12,3,0,0
32350,14,5,0,0
32450,17,4,0,0
32550,35,10,0,0
32650,11,8,0,0
32750,6,7,0,0
32850,10,12,0,0
32950,37,8,0,0
33050,8,7,0,0
33150,9,5,0,0
33250,12,13,0,0
33350,12,10,0,0
33450,9,10,0,0
33550,15,7,0,0
33650,9,4,0,0
33750,11,5,0,0
33850,8,12,0,0
33950,14,7,0,0
34050,2,11,0,0
34150,6,12,0,0
34250,9,13,0,0
34350,9,23,0,0
34450,7,19,0,0
34550,7,21,0,0
34650,9,24,0,0
34750,10,19,0,0
34850,9,20,0,0
34950,6,29,0,0
35050,10,23,0,0
35150,9,26,0,0
35250,6,31,0,0
35350,8,10,0,0
35450,11,15,0,0
35550,4,17,0,0
35650,3,12,0,0
35750,15,10,0,0
35850,5,8,0,0
35950,6,5,0,0
36050,5,12,0,0
36150,8,14,0,0
36250,8,5,0,0
36350,9,7,0,0
36450,8,10,0,0
36550,3,7,0,0
36650,9,9,0,0
36750,7,12,0,0
36850,6,11,0,0
36950,6,4,0,0
37050,9,6,0,0
37150,6,8,0,0
37250,10,5,0,0
37350,11,6,0,0
37450,3,4,0,0
37550,8,7,0,0
37650,8,4,0,0
37750,8,9,0,0
37850,8,4,0,0
37950,6,2,0,0
38050,7,7,0,0
38150,11,5,0,0
38250,1,7,0,0
38350,7,10,0,0
38450,3,7,0,0
38550,5,5,0,0
38650,6,9,0,0
38750,6,4,0,0
38850,4,11,0,0
38950,7,8,0,0
39050,6,10,0,0
39150,6,11,0,0
39250,7,9,0,0
39350,5,9,0,0
39450,10,15,0,0
39550,5,5,0,0
39650,8,8,0,0
39750,7,13,0,0
39850,3,13,0,0
39950,6,9,0,0
40050,8,6,0,0
40150,8,7,0,0
40250,7,14,0,0
40350,5,8,0,0
40450,8,6,0,0
40550,6,5,0,0
40650,11,11,0,0
40750,5,8,0,0
40850,4,10,0,0
40950,10,9,0,0
41050,6,15,0,0
41150,3,7,0,0
41250,5,8,0,0
41350,6,8,0,0
41450,10,4,0,0
41550,10,11,0,0
41650,10,12,0,0
41750,6,12,0,0
41850,6,17,0,0
41950,4,14,0,0
42050,9,21,0,0
42150,2,35,0,0
42250,5,16,0,0
42350,3,20,0,0
42450,7,33,0,0
42550,7,54,0,0
42650,6,50,0,0
42750,5,29,0,0
42850,6,29,0,0
42950,6,61,0,0
43050,6,44,0,0
43150,4,26,0,0
43250,8,28,0,0
43350,9,37,0,0
43450,8,48,0,0
43550,217,22,0,0
43650,150,11,0,0
43750,10,18,0,0
43850,18,47,0,0
43950,953,20,0,0
44050,576,8,0,0
44150,9,10,0,0
44250,28,17,0,0
44350,1171,14,0,0
44450,849,6,0,0
44550,15,7,0,0
44650,19,11,0,0
44750,978,17,0,0
44850,721,12,0,0
44950,7,7,0,0
45050,6,12,0,0
45150,216,9,0,0
45250,196,14,0,0
45350,5,8,0,0
45450,10,7,0,0
45550,9,6,0,0
45650,6,17,0,0
45750,5,10,0,0
45850,9,11,0,0
45950,8,5,0,0
46050,11,3,0,0
46150,8,7,0,0
46250,5,4,0,0
46350,6,11,0,0
46450,4,6,0,0
46550,9,11,0,0
46650,4,5,0,0
46750,8,3,0,0
46850,8,8,0,0
46950,12,7,0,0
47050,13,11,0,0
47150,8,7,0,0
47250,9,7,0,0
47350,10,7,0,0
47450,9,10,0,0
47550,7,6,0,0
47650,4,12,0,0
47750,7,11,0,0
