BinCenter (ps),Histo01,Histo02,Histo03,Histo04
50,9,9,0,0
150,4,7,0,0
250,8,10,0,0
350,7,6,0,0
450,10,10,0,0
550,10,8,0,0
650,8,9,0,0
750,2,6,0,0
850,9,5,0,0
950,8,8,0,0
1050,6,8,0,0
1150,4,6,0,0
1250,6,11,0,0
1350,8,10,0,0
1450,5,8,0,0
1550,5,10,0,0
1650,6,7,0,0
1750,9,7,0,0
1850,7,3,0,0
1950,6,7,0,0
2050,11,3,0,0
2150,4,12,0,0
2250,7,7,0,0
2350,15,4,0,0
2450,9,5,0,0
2550,5,13,0,0
2650,4,8,0,0
2750,11,5,0,0
2850,7,7,0,0
2950,5,7,0,0
3050,9,8,0,0
3150,9,7,0,0
3250,10,9,0,0
3350,9,7,0,0
3450,13,10,0,0
3550,6,1,0,0
3650,4,9,0,0
3750,5,4,0,0
3850,10,6,0,0
3950,6,6,0,0
4050,12,4,0,0
4150,6,6,0,0
4250,9,12,0,0
4350,11,6,0,0
4450,18,8,0,0
4550,7,4,0,0
4650,12,16,0,0
4750,3,5,0,0
4850,21,132,0,0
4950,6,268,0,0
5050,2,10,0,0
5150,7,16,0,0
5250,8,630,0,0
5350,3,1076,0,0
5450,6,16,0,0
5550,7,13,0,0
5650,6,1026,0,0
5750,5,1255,0,0
5850,15,18,0,0
5950,9,17,0,0
6050,5,822,0,0
6150,11,786,0,0
6250,44,18,0,0
6350,15,7,0,0
6450,12,211,0,0
6550,20,162,0,0
6650,52,8,0,0
6750,43,6,0,0
6850,27,10,0,0
6950,22,2,0,0
7050,52,7,0,0
7150,64,5,0,0
7250,43,3,0,0
7350,27,4,0,0
7450,53,3,0,0
7550,46,6,0,0
7650,32,9,0,0
7750,28,6,0,0
7850,45,12,0,0
7950,38,3,0,0
8050,16,5,0,0
8150,13,6,0,0
8250,12,7,0,0
8350,13,13,0,0
8450,12,14,0,0
8550,10,7,0,0
8650,6,11,0,0
8750,9,6,0,0
8850,3,6,0,0
8950,7,10,0,0
9050,9,12,0,0
9150,14,8,0,0
9250,9,10,0,0
9350,4,14,0,0
9450,7,8,0,0
9550,8,7,0,0
9650,7,10,0,0
9750,5,8,0,0
9850,14,8,0,0
9950,12,9,0,0
10050,6,4,0,0
10150,6,8,0,0
10250,14,9,0,0
10350,12,6,0,0
10450,3,1,0,0
10550,9,8,0,0
10650,11,6,0,0
10750,5,4,0,0
10850,7,6,0,0
10950,10,8,0,0
11050,8,6,0,0
11150,7,9,0,0
11250,5,4,0,0
11350,9,8,0,0
11450,12,6,0,0
11550,7,8,0,0
11650,11,4,0,0
11750,10,6,0,0
11850,7,4,0,0
11950,6,2,0,0
12050,9,5,0,0
12150,13,14,0,0
12250,8,8,0,0
12350,5,13,0,0
12450,6,6,0,0
12550,6,5,0,0
12650,14,5,0,0
12750,11,6,0,0
12850,6,6,0,0
12950,6,7,0,0
13050,6,4,0,0
13150,3,8,0,0
13250,9,6,0,0
13350,6,3,0,0
13450,7,8,0,0
13550,8,4,0,0
13650,5,2,0,0
13750,4,4,0,0
13850,7,11,0,0
13950,7,9,0,0
14050,12,3,0,0
14150,10,5,0,0
14250,5,15,0,0
14350,7,6,0,0
14450,14,5,0,0
14550,12,5,0,0
14650,17,6,0,0
14750,18,7,0,0
14850,25,8,0,0
14950,28,5,0,0
15050,24,7,0,0
15150,26,14,0,0
15250,29,8,0,0
15350,20,12,0,0
15450,24,9,0,0
15550,20,5,0,0
15650,24,5,0,0
15750,27,8,0,0
15850,21,7,0,0
15950,9,4,0,0
16050,12,7,0,0
16150,8,14,0,0
16250,11,5,0,0
16350,6,4,0,0
16450,6,7,0,0
16550,5,15,0,0
16650,13,8,0,0
16750,5,15,0,0
16850,7,11,0,0
16950,10,10,0,0
17050,2,5,0,0
17150,9,30,0,0
17250,9,9,0,0
17350,7,8,0,0
17450,11,8,0,0
17550,10,46,0,0
17650,4,12,0,0
17750,5,8,0,0
17850,8,6,0,0
17950,4,34,0,0
18050,6,10,0,0
18150,10,5,0,0
18250,9,11,0,0
18350,5,20,0,0
18450,9,10,0,0
18550,9,9,0,0
18650,3,5,0,0
18750,11,4,0,0
18850,3,4,0,0
18950,13,7,0,0
19050,6,5,0,0
19150,6,3,0,0
19250,3,12,0,0
19350,8,9,0,0
19450,9,10,0,0
19550,8,3,0,0
19650,8,10,0,0
19750,10,6,0,0
19850,11,4,0,0
19950,9,11,0,0
20050,10,7,0,0
20150,9,6,0,0
20250,10,3,0,0
20350,4,11,0,0
20450,4,10,0,0
20550,4,3,0,0
20650,9,9,0,0
20750,10,9,0,0
20850,8,16,0,0
20950,9,7,0,0
21050,10,3,0,0
21150,7,13,0,0
21250,4,14,0,0
21350,10,6,0,0
21450,9,9,0,0
21550,6,22,0,0
21650,3,18,0,0
21750,5,13,0,0
21850,7,7,0,0
21950,4,29,0,0
