BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;5;5;0;0
150;10;7;0;0
250;8;7;0;0
350;5;5;0;0
450;2;7;0;0
550;5;4;0;0
650;6;7;0;0
750;5;7;0;0
850;13;5;0;0
950;9;3;0;0
1050;4;7;0;0
1150;7;9;0;0
1250;4;10;0;0
1350;13;9;0;0
1450;6;8;0;0
1550;6;6;0;0
1650;3;10;0;0
1750;8;5;0;0
1850;7;14;0;0
1950;8;8;0;0
2050;6;4;0;0
2150;8;7;0;0
2250;7;6;0;0
2350;7;5;0;0
2450;4;12;0;0
2550;9;8;0;0
2650;6;10;0;0
2750;9;6;0;0
2850;7;7;0;0
2950;10;6;0;0
3050;9;8;0;0
3150;13;6;0;0
3250;10;11;0;0
3350;12;5;0;0
3450;9;7;0;0
3550;5;5;0;0
3650;6;7;0;0
3750;6;4;0;0
3850;12;5;0;0
3950;7;8;0;0
4050;9;8;0;0
4150;18;7;0;0
4250;7;10;0;0
4350;6;5;0;0
4450;19;8;0;0
4550;9;8;0;0
4650;5;4;0;0
4750;8;13;0;0
4850;18;161;0;0
4950;10;291;0;0
5050;4;11;0;0
5150;6;8;0;0
5250;10;596;0;0
5350;6;989;0;0
5450;9;26;0;0
5550;6;12;0;0
5650;4;879;0;0
5750;12;1497;0;0
5850;32;24;0;0
5950;8;15;0;0
6050;11;697;0;0
6150;18;896;0;0
6250;52;18;0;0
6350;16;18;0;0
6450;11;201;0;0
6550;23;183;0;0
6650;57;3;0;0
6750;30;7;0;0
6850;27;8;0;0
6950;33;7;0;0
7050;60;6;0;0
7150;75;8;0;0
7250;48;5;0;0
7350;33;9;0;0
7450;53;6;0;0
7550;63;3;0;0
7650;36;10;0;0
7750;27;11;0;0
7850;27;3;0;0
7950;28;9;0;0
8050;24;7;0;0
8150;9;11;0;0
8250;12;8;0;0
8350;17;11;0;0
8450;11;8;0;0
8550;12;13;0;0
8650;8;11;0;0
8750;11;1;0;0
8850;3;5;0;0
8950;8;3;0;0
9050;6;10;0;0
9150;6;9;0;0
9250;10;9;0;0
9350;8;3;0;0
9450;7;7;0;0
9550;7;6;0;0
9650;4;7;0;0
9750;2;8;0;0
9850;18;11;0;0
9950;7;4;0;0
10050;2;8;0;0
10150;5;7;0;0
10250;12;6;0;0
10350;8;5;0;0
10450;7;10;0;0
10550;11;4;0;0
10650;16;11;0;0
10750;5;6;0;0
10850;8;9;0;0
10950;6;9;0;0
11050;14;5;0;0
11150;5;9;0;0
11250;6;9;0;0
11350;12;13;0;0
11450;11;8;0;0
11550;4;11;0;0
11650;6;9;0;0
11750;5;7;0;0
11850;8;2;0;0
11950;4;8;0;0
12050;10;5;0;0
12150;8;4;0;0
12250;9;4;0;0
12350;11;8;0;0
12450;12;4;0;0
12550;6;2;0;0
12650;6;6;0;0
12750;4;5;0;0
12850;8;7;0;0
12950;7;9;0;0
13050;6;5;0;0
13150;10;14;0;0
13250;8;4;0;0
13350;11;7;0;0
13450;7;7;0;0
13550;10;7;0;0
13650;6;4;0;0
13750;4;6;0;0
13850;5;14;0;0
13950;14;4;0;0
14050;10;10;0;0
14150;5;7;0;0
14250;12;5;0;0
14350;12;6;0;0
14450;11;3;0;0
14550;11;8;0;0
14650;23;3;0;0
14750;20;6;0;0
14850;21;12;0;0
14950;25;10;0;0
15050;29;4;0;0
15150;21;8;0;0
15250;33;4;0;0
15350;26;9;0;0
15450;19;6;0;0
15550;29;6;0;0
15650;31;9;0;0
15750;19;10;0;0
15850;12;5;0;0
15950;11;6;0;0
16050;7;9;0;0
16150;12;18;0;0
16250;11;5;0;0
16350;5;10;0;0
16450;6;9;0;0
16550;5;18;0;0
16650;5;4;0;0
16750;6;12;0;0
16850;11;5;0;0
16950;10;12;0;0
17050;5;11;0;0
17150;8;25;0;0
17250;9;8;0;0
17350;6;7;0;0
17450;6;13;0;0
17550;7;39;0;0
17650;7;16;0;0
17750;7;8;0;0
17850;7;8;0;0
17950;11;46;0;0
18050;10;13;0;0
18150;13;6;0;0
18250;6;8;0;0
18350;10;19;0;0
18450;12;14;0;0
18550;11;10;0;0
18650;7;7;0;0
18750;4;8;0;0
18850;13;8;0;0
18950;10;7;0;0
19050;9;8;0;0
19150;7;5;0;0
19250;12;12;0;0
19350;6;6;0;0
19450;7;4;0;0
19550;8;4;0;0
19650;11;12;0;0
19750;6;9;0;0
19850;7;6;0;0
19950;5;5;0;0
20050;5;14;0;0
20150;6;13;0;0
20250;5;8;0;0
20350;9;8;0;0
20450;10;4;0;0
20550;5;7;0;0
20650;5;8;0;0
20750;5;11;0;0
20850;4;7;0;0
20950;8;6;0;0
21050;6;8;0;0
21150;11;19;0;0
21250;10;13;0;0
21350;13;9;0;0
21450;8;9;0;0
21550;10;18;0;0
21650;5;8;0;0
21750;8;7;0;0
21850;7;6;0;0
21950;4;26;0;0
22050;8;26;0;0
22150;8;6;0;0
22250;9;15;0;0
22350;7;10;0;0
22450;7;15;0;0
22550;7;5;0;0
22650;9;6;0;0
22750;6;10;0;0
22850;10;5;0;0
22950;9;7;0;0
23050;15;10;0;0
23150;5;5;0;0
23250;5;9;0;0
23350;9;14;0;0
23450;14;9;0;0
23550;9;10;0;0
23650;6;9;0;0
23750;6;4;0;0
23850;16;3;0;0
23950;11;10;0;0
24050;7;9;0;0
24150;6;11;0;0
24250;7;6;0;0
24350;5;3;0;0
24450;6;11;0;0
24550;5;6;0;0
24650;10;11;0;0
24750;5;7;0;0
24850;4;11;0;0
24950;6;6;0;0
25050;5;10;0;0
25150;4;9;0;0
25250;7;5;0;0
25350;4;11;0;0
25450;9;4;0;0
25550;8;6;0;0
25650;7;3;0;0
25750;4;9;0;0
25850;6;6;0;0
25950;6;7;0;0
26050;8;7;0;0
26150;5;13;0;0
26250;3;13;0;0
26350;10;7;0;0
26450;9;6;0;0
26550;7;7;0;0
26650;7;11;0;0
26750;4;16;0;0
26850;11;9;0;0
26950;3;10;0;0
27050;3;21;0;0
27150;9;7;0;0
27250;9;4;0;0
27350;10;11;0;0
27450;5;10;0;0
27550;7;6;0;0
27650;10;10;0;0
27750;19;6;0;0
27850;6;7;0;0
27950;3;4;0;0
28050;18;9;0;0
28150;26;8;0;0
28250;12;3;0;0
28350;5;8;0;0
28450;16;9;0;0
28550;17;6;0;0
28650;12;7;0;0
28750;8;8;0;0
28850;13;9;0;0
28950;10;9;0;0
29050;4;5;0;0
29150;7;6;0;0
29250;10;5;0;0
29350;11;7;0;0
29450;4;2;0;0
29550;7;6;0;0
29650;6;7;0;0
29750;6;7;0;0
29850;5;8;0;0
29950;9;10;0;0
30050;6;4;0;0
30150;8;7;0;0
30250;8;6;0;0
30350;7;3;0;0
30450;7;10;0;0
30550;6;6;0;0
30650;5;5;0;0
30750;13;1;0;0
