BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;5;5;0;0
150;10;13;0;0
250;7;12;0;0
350;7;8;0;0
450;10;9;0;0
550;10;7;0;0
650;5;7;0;0
750;7;3;0;0
850;6;6;0;0
950;9;7;0;0
1050;6;6;0;0
1150;11;12;0;0
1250;10;5;0;0
1350;8;8;0;0
1450;9;7;0;0
1550;8;10;0;0
1650;2;7;0;0
1750;9;8;0;0
1850;10;8;0;0
1950;2;9;0;0
2050;9;5;0;0
2150;6;7;0;0
2250;5;3;0;0
2350;14;10;0;0
2450;9;5;0;0
2550;8;10;0;0
2650;3;9;0;0
2750;4;5;0;0
2850;6;4;0;0
2950;9;8;0;0
3050;8;3;0;0
3150;5;10;0;0
3250;6;10;0;0
3350;3;8;0;0
3450;8;7;0;0
3550;8;6;0;0
3650;9;7;0;0
3750;9;6;0;0
3850;13;6;0;0
3950;5;4;0;0
4050;8;4;0;0
4150;7;5;0;0
4250;5;8;0;0
4350;5;7;0;0
4450;16;10;0;0
4550;10;7;0;0
4650;6;11;0;0
4750;8;6;0;0
4850;22;55;0;0
4950;10;363;0;0
5050;9;45;0;0
5150;9;10;0;0
5250;8;482;0;0
5350;4;1204;0;0
5450;9;89;0;0
5550;12;25;0;0
5650;8;1080;0;0
5750;7;1449;0;0
5850;25;62;0;0
5950;9;28;0;0
6050;6;1031;0;0
6150;12;636;0;0
6250;40;13;0;0
6350;23;16;0;0
6450;14;320;0;0
6550;16;87;0;0
6650;49;10;0;0
6750;37;7;0;0
6850;17;7;0;0
6950;28;5;0;0
7050;49;8;0;0
7150;53;11;0;0
7250;30;4;0;0
7350;26;5;0;0
7450;45;7;0;0
7550;63;6;0;0
7650;25;7;0;0
7750;34;6;0;0
7850;27;6;0;0
7950;23;12;0;0
8050;20;9;0;0
8150;15;6;0;0
8250;15;3;0;0
8350;10;4;0;0
8450;10;6;0;0
8550;11;9;0;0
8650;13;7;0;0
8750;4;5;0;0
8850;9;11;0;0
8950;7;7;0;0
9050;5;6;0;0
9150;7;4;0;0
9250;9;7;0;0
9350;5;11;0;0
9450;6;5;0;0
9550;7;8;0;0
9650;13;12;0;0
9750;4;8;0;0
9850;11;12;0;0
9950;12;10;0;0
10050;6;8;0;0
10150;5;4;0;0
10250;10;6;0;0
10350;15;10;0;0
10450;6;5;0;0
10550;8;9;0;0
10650;23;4;0;0
10750;13;9;0;0
10850;10;9;0;0
10950;6;11;0;0
11050;11;6;0;0
11150;7;8;0;0
11250;10;5;0;0
11350;7;5;0;0
11450;3;7;0;0
11550;12;8;0;0
11650;6;8;0;0
11750;9;9;0;0
11850;11;5;0;0
11950;8;3;0;0
12050;12;9;0;0
12150;3;4;0;0
12250;4;8;0;0
12350;12;4;0;0
12450;7;12;0;0
12550;10;8;0;0
12650;8;14;0;0
12750;6;12;0;0
12850;9;8;0;0
12950;4;11;0;0
13050;9;3;0;0
13150;10;4;0;0
13250;5;10;0;0
13350;6;7;0;0
13450;6;6;0;0
13550;11;8;0;0
13650;6;7;0;0
13750;6;8;0;0
13850;8;12;0;0
13950;6;6;0;0
14050;11;10;0;0
14150;8;7;0;0
14250;12;4;0;0
14350;14;6;0;0
14450;11;2;0;0
14550;12;8;0;0
14650;17;8;0;0
14750;14;7;0;0
14850;26;5;0;0
14950;18;12;0;0
15050;36;5;0;0
15150;25;7;0;0
15250;30;7;0;0
15350;32;6;0;0
15450;29;7;0;0
15550;26;11;0;0
15650;10;7;0;0
15750;15;11;0;0
15850;15;13;0;0
15950;10;9;0;0
16050;12;16;0;0
16150;13;8;0;0
16250;9;9;0;0
16350;7;8;0;0
16450;0;10;0;0
16550;3;12;0;0
16650;11;5;0;0
16750;5;8;0;0
16850;7;8;0;0
16950;8;11;0;0
17050;5;7;0;0
17150;11;17;0;0
17250;6;19;0;0
17350;12;7;0;0
17450;13;7;0;0
17550;9;38;0;0
17650;4;21;0;0
17750;14;7;0;0
17850;4;13;0;0
17950;9;24;0;0
18050;6;18;0;0
18150;11;9;0;0
18250;10;8;0;0
18350;4;18;0;0
18450;3;11;0;0
18550;6;8;0;0
18650;10;5;0;0
18750;5;11;0;0
18850;8;7;0;0
18950;13;8;0;0
19050;7;7;0;0
19150;4;3;0;0
19250;11;5;0;0
19350;5;3;0;0
19450;5;5;0;0
19550;9;7;0;0
19650;14;6;0;0
19750;6;6;0;0
19850;10;4;0;0
19950;8;4;0;0
20050;7;5;0;0
20150;9;7;0;0
20250;10;5;0;0
20350;5;7;0;0
20450;8;2;0;0
20550;9;5;0;0
20650;7;6;0;0
20750;9;16;0;0
20850;8;8;0;0
20950;7;9;0;0
21050;7;4;0;0
21150;9;12;0;0
21250;7;14;0;0
21350;5;3;0;0
21450;4;12;0;0
21550;9;19;0;0
21650;10;21;0;0
21750;4;12;0;0
21850;6;5;0;0
21950;3;25;0;0
22050;9;23;0;0
22150;9;6;0;0
22250;12;9;0;0
22350;8;20;0;0
22450;9;11;0;0
22550;8;6;0;0
22650;10;6;0;0
22750;4;14;0;0
22850;4;8;0;0
22950;4;2;0;0
23050;18;7;0;0
23150;10;6;0;0
23250;6;2;0;0
23350;12;8;0;0
23450;15;11;0;0
23550;9;7;0;0
23650;9;4;0;0
23750;8;8;0;0
23850;9;7;0;0
23950;8;11;0;0
24050;5;7;0;0
