BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;7;7;0;0
150;4;10;0;0
250;12;10;0;0
350;0;5;0;0
450;9;10;0;0
550;5;7;0;0
650;7;7;0;0
750;5;9;0;0
850;7;10;0;0
950;10;10;0;0
1050;6;7;0;0
1150;4;9;0;0
1250;8;7;0;0
1350;9;13;0;0
1450;5;4;0;0
1550;3;8;0;0
1650;7;1;0;0
1750;8;8;0;0
1850;7;6;0;0
1950;8;10;0;0
2050;10;9;0;0
2150;8;9;0;0
2250;7;6;0;0
2350;10;13;0;0
2450;7;4;0;0
2550;8;3;0;0
2650;7;4;0;0
2750;17;8;0;0
2850;11;11;0;0
2950;7;7;0;0
3050;10;6;0;0
3150;10;2;0;0
3250;8;7;0;0
3350;10;4;0;0
3450;7;10;0;0
3550;3;4;0;0
3650;8;6;0;0
3750;7;6;0;0
3850;5;15;0;0
3950;6;9;0;0
4050;7;6;0;0
4150;4;9;0;0
4250;6;9;0;0
4350;8;8;0;0
4450;16;10;0;0
4550;11;4;0;0
4650;7;10;0;0
4750;6;5;0;0
4850;19;53;0;0
4950;7;342;0;0
5050;3;45;0;0
5150;9;17;0;0
5250;11;472;0;0
5350;5;1129;0;0
5450;9;89;0;0
5550;8;25;0;0
5650;7;1118;0;0
5750;8;1468;0;0
5850;22;47;0;0
5950;11;39;0;0
6050;10;982;0;0
6150;14;683;0;0
6250;41;14;0;0
6350;18;27;0;0
6450;11;317;0;0
6550;17;103;0;0
6650;44;5;0;0
6750;42;3;0;0
6850;29;6;0;0
6950;31;8;0;0
7050;55;6;0;0
7150;48;11;0;0
7250;41;6;0;0
7350;37;8;0;0
7450;46;7;0;0
7550;56;6;0;0
7650;38;6;0;0
7750;30;8;0;0
7850;39;5;0;0
7950;29;8;0;0
8050;17;8;0;0
8150;11;7;0;0
8250;7;3;0;0
8350;11;6;0;0
8450;7;14;0;0
8550;8;4;0;0
8650;12;7;0;0
8750;7;11;0;0
8850;6;4;0;0
8950;5;9;0;0
9050;13;11;0;0
9150;4;2;0;0
9250;4;9;0;0
9350;14;15;0;0
9450;9;8;0;0
9550;14;5;0;0
9650;8;7;0;0
9750;7;2;0;0
9850;12;9;0;0
9950;19;10;0;0
10050;7;4;0;0
10150;7;8;0;0
10250;16;7;0;0
10350;13;7;0;0
10450;8;13;0;0
10550;5;5;0;0
10650;15;8;0;0
10750;13;3;0;0
10850;5;3;0;0
10950;5;10;0;0
11050;14;9;0;0
11150;6;12;0;0
11250;10;8;0;0
11350;4;9;0;0
11450;7;8;0;0
11550;11;9;0;0
11650;8;3;0;0
11750;7;7;0;0
11850;8;0;0;0
11950;5;2;0;0
12050;6;6;0;0
12150;8;10;0;0
12250;2;8;0;0
12350;8;5;0;0
12450;2;9;0;0
12550;8;11;0;0
12650;6;9;0;0
12750;5;6;0;0
12850;6;4;0;0
12950;9;7;0;0
13050;4;10;0;0
13150;5;9;0;0
13250;9;8;0;0
13350;15;10;0;0
13450;4;5;0;0
13550;7;10;0;0
13650;8;7;0;0
13750;10;8;0;0
13850;5;6;0;0
13950;12;8;0;0
14050;9;9;0;0
14150;8;3;0;0
14250;10;5;0;0
14350;8;7;0;0
14450;19;7;0;0
14550;13;2;0;0
14650;22;8;0;0
14750;19;4;0;0
14850;19;8;0;0
14950;31;7;0;0
15050;28;7;0;0
15150;26;7;0;0
15250;26;11;0;0
15350;30;3;0;0
15450;28;6;0;0
15550;16;9;0;0
15650;23;5;0;0
15750;16;11;0;0
15850;22;8;0;0
15950;11;3;0;0
16050;11;7;0;0
16150;8;14;0;0
16250;17;8;0;0
16350;8;8;0;0
16450;6;4;0;0
16550;8;6;0;0
16650;9;6;0;0
16750;9;6;0;0
16850;10;4;0;0
16950;7;11;0;0
17050;12;11;0;0
17150;4;13;0;0
17250;3;16;0;0
17350;9;4;0;0
17450;8;12;0;0
17550;6;30;0;0
17650;3;23;0;0
17750;5;7;0;0
17850;9;3;0;0
17950;6;35;0;0
18050;5;17;0;0
18150;8;15;0;0
18250;4;8;0;0
18350;14;16;0;0
18450;6;7;0;0
18550;6;9;0;0
18650;8;6;0;0
18750;9;7;0;0
18850;8;13;0;0
18950;9;7;0;0
19050;10;6;0;0
19150;8;9;0;0
19250;7;9;0;0
19350;8;8;0;0
19450;7;10;0;0
19550;4;5;0;0
19650;8;8;0;0
19750;9;10;0;0
19850;8;6;0;0
19950;7;8;0;0
20050;11;10;0;0
20150;5;7;0;0
20250;9;9;0;0
20350;6;10;0;0
20450;4;12;0;0
20550;7;8;0;0
20650;8;7;0;0
20750;3;8;0;0
20850;7;12;0;0
20950;2;8;0;0
21050;4;8;0;0
21150;8;8;0;0
21250;3;24;0;0
21350;8;5;0;0
21450;5;6;0;0
21550;6;18;0;0
21650;9;27;0;0
21750;2;5;0;0
21850;10;4;0;0
21950;4;20;0;0
22050;6;22;0;0
22150;4;6;0;0
22250;6;11;0;0
22350;11;13;0;0
22450;7;12;0;0
22550;8;10;0;0
22650;8;10;0;0
22750;9;6;0;0
22850;9;10;0;0
22950;7;14;0;0
23050;16;10;0;0
23150;6;6;0;0
23250;7;4;0;0
23350;11;6;0;0
23450;18;9;0;0
23550;10;7;0;0
23650;9;8;0;0
23750;12;8;0;0
23850;14;6;0;0
23950;5;7;0;0
24050;7;10;0;0
24150;10;6;0;0
24250;8;14;0;0
24350;4;6;0;0
24450;8;11;0;0
24550;5;8;0;0
24650;6;6;0;0
24750;11;5;0;0
24850;5;11;0;0
24950;6;8;0;0
25050;8;8;0;0
25150;7;6;0;0
25250;4;5;0;0
25350;6;5;0;0
25450;12;2;0;0
25550;8;2;0;0
25650;9;10;0;0
25750;4;10;0;0
25850;12;12;0;0
25950;6;7;0;0
26050;8;11;0;0
26150;6;4;0;0
26250;3;14;0;0
26350;6;12;0;0
26450;5;10;0;0
26550;4;13;0;0
26650;6;6;0;0
26750;6;9;0;0
26850;9;7;0;0
26950;5;8;0;0
27050;7;12;0;0
27150;7;7;0;0
27250;7;6;0;0
27350;12;14;0;0
27450;7;6;0;0
27550;9;8;0;0
27650;14;4;0;0
27750;19;11;0;0
27850;12;8;0;0
27950;6;7;0;0
28050;16;7;0;0
28150;18;14;0;0
28250;13;7;0;0
28350;5;7;0;0
28450;30;5;0;0
28550;21;10;0;0
28650;10;12;0;0
28750;16;9;0;0
28850;17;6;0;0
28950;12;10;0;0
29050;5;6;0;0
29150;7;6;0;0
29250;13;2;0;0
29350;7;8;0;0
29450;4;7;0;0
29550;6;7;0;0
29650;8;4;0;0
29750;5;12;0;0
29850;9;11;0;0
29950;2;10;0;0
30050;10;4;0;0
30150;6;5;0;0
30250;10;3;0;0
30350;9;6;0;0
30450;7;5;0;0
30550;10;5;0;0
30650;6;11;0;0
30750;3;4;0;0
30850;11;11;0;0
30950;8;11;0;0
31050;14;11;0;0
31150;7;9;0;0
31250;7;6;0;0
31350;2;9;0;0
31450;5;8;0;0
31550;6;8;0;0
31650;7;10;0;0
31750;15;8;0;0
31850;8;6;0;0
31950;5;6;0;0
32050;16;8;0;0
32150;30;3;0;0
32250;10;7;0;0
32350;8;7;0;0
32450;22;4;0;0
32550;29;10;0;0
32650;10;9;0;0
32750;6;12;0;0
32850;14;5;0;0
32950;12;5;0;0
33050;6;7;0;0
33150;10;4;0;0
33250;9;9;0;0
33350;10;10;0;0
33450;5;9;0;0
33550;7;6;0;0
33650;8;9;0;0
33750;9;6;0;0
33850;8;5;0;0
33950;20;6;0;0
34050;5;15;0;0
34150;12;17;0;0
34250;10;23;0;0
34350;11;20;0;0
34450;5;21;0;0
34550;8;26;0;0
34650;6;19;0;0
34750;6;22;0;0
34850;8;32;0;0
34950;7;38;0;0
35050;7;30;0;0
35150;2;15;0;0
35250;9;24;0;0
35350;9;15;0;0
35450;6;21;0;0
35550;6;16;0;0
35650;11;18;0;0
35750;7;7;0;0
35850;4;7;0;0
35950;5;10;0;0
36050;12;7;0;0
36150;5;8;0;0
36250;6;5;0;0
36350;7;5;0;0
36450;8;6;0;0
36550;9;4;0;0
36650;8;13;0;0
36750;3;5;0;0
36850;10;6;0;0
36950;4;13;0;0
37050;8;6;0;0
37150;9;9;0;0
37250;5;6;0;0
37350;11;6;0;0
37450;13;7;0;0
37550;8;8;0;0
37650;6;6;0;0
37750;8;9;0;0
37850;5;6;0;0
37950;7;7;0;0
38050;4;7;0;0
38150;7;4;0;0
38250;3;5;0;0
38350;8;6;0;0
38450;5;11;0;0
