BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;6;6;0;0
150;12;9;0;0
250;7;11;0;0
350;2;8;0;0
450;10;5;0;0
550;7;5;0;0
650;7;5;0;0
750;7;6;0;0
850;7;8;0;0
950;12;5;0;0
1050;5;9;0;0
1150;6;5;0;0
1250;7;7;0;0
1350;12;9;0;0
1450;5;3;0;0
1550;11;5;0;0
1650;6;3;0;0
1750;8;7;0;0
1850;5;6;0;0
1950;11;8;0;0
2050;5;8;0;0
2150;10;6;0;0
2250;5;7;0;0
2350;6;9;0;0
2450;11;5;0;0
2550;8;6;0;0
2650;7;8;0;0
2750;6;9;0;0
2850;5;12;0;0
2950;6;11;0;0
3050;7;7;0;0
3150;8;12;0;0
3250;7;8;0;0
3350;9;13;0;0
3450;6;5;0;0
3550;8;7;0;0
3650;8;9;0;0
3750;8;6;0;0
3850;10;8;0;0
3950;3;8;0;0
4050;7;12;0;0
4150;6;3;0;0
4250;9;12;0;0
4350;5;11;0;0
4450;15;13;0;0
4550;9;10;0;0
4650;10;7;0;0
4750;7;6;0;0
4850;14;65;0;0
4950;9;357;0;0
5050;8;37;0;0
5150;7;11;0;0
5250;11;454;0;0
5350;8;1113;0;0
5450;7;73;0;0
5550;10;16;0;0
5650;3;1098;0;0
5750;6;1377;0;0
5850;17;38;0;0
5950;20;26;0;0
6050;13;951;0;0
6150;8;649;0;0
6250;37;12;0;0
6350;18;21;0;0
6450;11;298;0;0
6550;21;99;0;0
6650;49;8;0;0
6750;33;7;0;0
6850;24;16;0;0
6950;36;8;0;0
7050;56;3;0;0
7150;53;2;0;0
7250;49;11;0;0
7350;38;3;0;0
7450;43;4;0;0
7550;60;8;0;0
7650;31;7;0;0
7750;31;6;0;0
7850;31;5;0;0
7950;35;5;0;0
8050;25;6;0;0
8150;18;6;0;0
8250;15;11;0;0
8350;9;10;0;0
8450;5;8;0;0
8550;9;9;0;0
8650;4;4;0;0
8750;10;8;0;0
8850;7;4;0;0
8950;6;7;0;0
9050;6;8;0;0
9150;4;8;0;0
9250;4;8;0;0
9350;3;7;0;0
9450;11;16;0;0
9550;11;7;0;0
9650;3;11;0;0
9750;4;9;0;0
9850;8;4;0;0
9950;12;7;0;0
10050;4;6;0;0
10150;8;8;0;0
10250;8;4;0;0
10350;10;11;0;0
10450;5;3;0;0
10550;11;12;0;0
10650;10;7;0;0
10750;6;10;0;0
10850;6;1;0;0
10950;5;10;0;0
11050;18;7;0;0
11150;10;7;0;0
11250;6;6;0;0
11350;9;10;0;0
11450;8;6;0;0
11550;5;9;0;0
11650;10;8;0;0
11750;8;7;0;0
11850;7;8;0;0
11950;6;8;0;0
12050;3;4;0;0
12150;13;11;0;0
12250;8;3;0;0
12350;4;9;0;0
12450;7;10;0;0
12550;4;8;0;0
12650;10;13;0;0
12750;9;3;0;0
12850;8;5;0;0
12950;7;8;0;0
13050;3;4;0;0
13150;8;3;0;0
13250;7;12;0;0
13350;7;12;0;0
13450;7;10;0;0
13550;3;8;0;0
13650;10;7;0;0
13750;8;10;0;0
13850;6;6;0;0
13950;3;7;0;0
14050;11;8;0;0
14150;12;8;0;0
14250;10;6;0;0
14350;6;12;0;0
14450;14;8;0;0
14550;17;8;0;0
14650;19;7;0;0
14750;26;7;0;0
14850;25;14;0;0
14950;29;8;0;0
15050;29;6;0;0
15150;34;4;0;0
15250;23;4;0;0
15350;30;10;0;0
15450;28;9;0;0
15550;26;10;0;0
15650;20;2;0;0
15750;16;4;0;0
15850;19;8;0;0
15950;13;6;0;0
16050;13;8;0;0
16150;8;17;0;0
16250;10;4;0;0
16350;11;9;0;0
16450;2;13;0;0
16550;6;8;0;0
16650;5;8;0;0
16750;8;9;0;0
16850;2;9;0;0
16950;12;10;0;0
17050;2;8;0;0
17150;10;18;0;0
17250;6;18;0;0
17350;7;6;0;0
17450;5;8;0;0
17550;9;22;0;0
17650;5;21;0;0
17750;11;7;0;0
17850;8;9;0;0
17950;9;32;0;0
18050;5;18;0;0
18150;5;9;0;0
18250;12;4;0;0
18350;4;14;0;0
18450;11;6;0;0
18550;8;3;0;0
18650;14;8;0;0
18750;5;8;0;0
18850;9;9;0;0
18950;7;6;0;0
19050;4;10;0;0
19150;10;7;0;0
19250;6;8;0;0
19350;12;8;0;0
19450;5;9;0;0
19550;10;12;0;0
19650;7;9;0;0
19750;9;6;0;0
19850;8;3;0;0
19950;9;11;0;0
20050;10;4;0;0
20150;7;6;0;0
20250;7;5;0;0
20350;4;11;0;0
20450;5;11;0;0
20550;6;2;0;0
20650;8;5;0;0
20750;3;5;0;0
20850;10;8;0;0
20950;7;4;0;0
21050;5;16;0;0
21150;6;10;0;0
